,id,2015-12-17 10:00,2015-12-17 11:00,2015-12-17 12:00,2015-12-17 13:00,2015-12-17 14:00,2015-12-17 15:00
133,332,98.0,432.0,470.0,385.0,376.0,235.0
134,333,40.0,196.0,192.0,159.0,136.0,102.0
135,334,,2.0,,,1.0,
136,336,1.0,3.0,1.0,3.0,6.0,
137,337,2.0,2.0,1.0,4.0,4.0,6.0
138,338,,1.0,1.0,2.0,2.0,2.0
139,339,1.0,1.0,2.0,2.0,1.0,
140,341,,,,,1.0,
141,342,,1.0,,,,
142,345,,1.0,1.0,1.0,,
143,348,,1.0,,,,
144,351,,,,1.0,,
145,352,9.0,46.0,39.0,19.0,29.0,28.0
146,353,51.0,172.0,145.0,156.0,168.0,85.0
147,354,88.0,432.0,385.0,379.0,365.0,223.0
148,355,85.0,462.0,433.0,426.0,381.0,222.0
149,356,119.0,586.0,557.0,470.0,458.0,277.0
150,357,51.0,262.0,260.0,245.0,245.0,150.0
151,358,16.0,42.0,54.0,36.0,36.0,17.0
152,359,,,,,1.0,
153,360,1.0,2.0,1.0,2.0,4.0,2.0
154,361,1.0,4.0,7.0,5.0,3.0,5.0
155,362,,1.0,,1.0,2.0,4.0
156,363,,,2.0,2.0,1.0,
157,364,,,1.0,3.0,2.0,2.0
158,365,,1.0,,3.0,4.0,1.0
159,366,,,,,,1.0
160,367,,1.0,1.0,,,1.0
161,368,,,,2.0,1.0,
162,369,,1.0,,,1.0,
163,370,,,,1.0,,1.0
164,372,,,,1.0,,
165,376,5.0,8.0,16.0,9.0,16.0,12.0
166,377,38.0,190.0,176.0,144.0,171.0,135.0
167,378,109.0,397.0,423.0,398.0,339.0,226.0
168,379,117.0,615.0,570.0,488.0,481.0,327.0
169,380,101.0,467.0,415.0,406.0,420.0,235.0
170,381,102.0,465.0,433.0,413.0,360.0,281.0
171,382,14.0,60.0,77.0,60.0,71.0,45.0
172,383,,1.0,,1.0,,
173,384,,,,1.0,2.0,
174,385,1.0,10.0,12.0,5.0,6.0,3.0
175,386,1.0,4.0,5.0,7.0,10.0,3.0
176,387,,,2.0,2.0,1.0,
177,389,,,2.0,,,
178,391,,,,,1.0,
179,392,2.0,2.0,4.0,1.0,2.0,1.0
180,393,1.0,,,,,
181,394,,,,,1.0,
182,396,,,,,1.0,
183,401,6.0,52.0,65.0,45.0,57.0,33.0
184,402,39.0,153.0,158.0,170.0,182.0,88.0
185,403,63.0,322.0,282.0,280.0,263.0,158.0
186,404,77.0,399.0,325.0,310.0,340.0,195.0
187,405,107.0,397.0,398.0,360.0,386.0,233.0
188,406,35.0,240.0,190.0,194.0,188.0,117.0
189,408,,,1.0,1.0,,
190,409,,5.0,2.0,6.0,12.0,
191,410,,3.0,1.0,,2.0,1.0
192,411,1.0,,3.0,,1.0,1.0
193,412,,3.0,4.0,3.0,8.0,2.0
194,413,,5.0,8.0,7.0,6.0,7.0
195,414,2.0,2.0,5.0,3.0,3.0,2.0
196,415,1.0,,,3.0,,
197,416,1.0,,,1.0,1.0,1.0
198,417,,1.0,1.0,2.0,,1.0
199,418,,,,1.0,,
200,426,14.0,85.0,95.0,96.0,77.0,47.0
201,427,47.0,246.0,253.0,222.0,251.0,145.0
202,428,70.0,299.0,317.0,289.0,269.0,155.0
203,429,83.0,384.0,409.0,403.0,423.0,253.0
204,430,63.0,219.0,209.0,189.0,195.0,136.0
205,431,7.0,53.0,82.0,70.0,67.0,44.0
206,434,,2.0,,4.0,2.0,1.0
207,435,,,,3.0,,
208,436,,1.0,,1.0,,
209,437,,,,,1.0,2.0
210,439,,,,,1.0,1.0
